lambda_gram,embedding
creo,0011111111110
buque,0001110000101
simpático,1101010010111
simpatir,1101010011111
terremoto,1111000001011
ocurrir,0100111000100
facilidad,0110010000001
tallar,1101000100000
polvo,1100001100101
atado,0001100000001
regado,1100100100001
abrumar,0000000111010
futuro,0110101110001
reflexiona,1100101100101
dueñir,0010010111011
mal,0101010010101
encerrarlo,0010001010110
impulsivo,0111010111011
frondosa,0110101000110
tío,1111010100000
navideño,0100100111101
llevársela,0101011001011
musculoso,0101100000010
ahuyentar,0000010101001
mayordomo,0101110100000
ayudado,0001101111000
dirigir,0010110111010
peleado,0100011000011
enamorar,0010001000100
acercársel,0000001111111
cultivar,0011101011010
incidente,0111010101110
celular,0001000101001
sucio,1101011001011
podrías,1100000100110
acaudalado,0000001100101
hechizar,0111101000010
medianoche,0101111101010
libera,0101001101110
próspero,1100010011110
truculenta,1111011101011
lunares,0101011100101
payaso,0100011010010
adelante,0000001000011
acud,0000001001011
enfermar,0010001101010
elefante,0010011110111
querer,1100110101001
globo,0110100110111
llegue,0101001000100
mercader,0101111011011
consistir,0011010110111
puajjj,1100010011011
universo,1111010101100
convierta,0011110010101
idea,0111110001100
pegajosa,0100011001110
selenio,1101110111110
cansar,0001011010100
brutal,0001110011011
distinguir,0010110001010
larga,0101000010011
exijo,0110010110101
inconsolablemente,0111010100111
comodón,0011001000111
amarillo,0000110110110
compró,0011011010010
efusivamente,0010011101000
hacerte,0111101111101
cerca,0001000110111
verdadero,1111110111010
inclinar,0111010101111
creto,0011111111101
herido,0111111001101
lujo,0101011101110
atreveer,0001100111100
videojuego,1111111101100
ojalá,0100111010111
lleves,0101011001111
chiquitito,0001000000010
pulmón,1100110000000
mezcla,0101101000001
afligeír,0000011110000
canico,0001011010010
toro,1111001110111
líquido,0101010100100
rumor,1101101001111
bruja,0001110010100
nacer,0100100011101
zorro,1111101110011
adversidad,0000011011100
martillar,0101110101110
bolsa,0001111100000
principio,1100011110110
derretido,0010100010111
hallowear,0111101010101
público,1100110010001
efectivamente,0010011101011
navidad,0100100111100
jardín,0111000100010
descubrir,0010101101001
ruido,1101101011000
tela,1101000010001
carecierar,0001001000101
puntita,1100110001101
olvidar,0100111111111
inmediato,0111011010101
zampó,1111101011001
entrenamiento,0010000000110
coser,0011110100001
inútil,0111001111100
padr,0100110011000
torpe,1111001110010
impopular,0111010010000
abuelos,0000000101111
leído,0101001100111
ráfagar,1101101000111
embarcación,0010011011110
prensencia,1100001000001
constancia,0011010110001
finn,0110111101101
va,1111010110011
comprar,0011011011101
anochezca,0000111111001
donoku,0010010011100
casi,0001001110111
tiranosaurus,1111000111100
aturdido,0001100111000
atender,0001100001001
guarido,0111100111001
contemplar,0011010011000
pop,1100001111110
redonda,1100101101001
salir,1101111110011
acudir,0000001001111
maestra,0101010110111
navegar,0100100110100
aldea,0000010011111
feliz,0110110110100
anular,0000111110011
pergamino,0100001111001
copa,0011110010000
elija,0010011010010
campesino,0001011110111
caso,0001001111110
vanidad,1111010011000
rato,1100111010111
artista,0000100110100
cabezar,0001010010110
empleada,0010001000011
fealdad,0110110110001
celebrar,0001000101100
epaminonda,0110000011010
rino,1101101100110
bota,0001110111001
ayudante,0001101111011
descender,0010100100000
poquitín,1100001111101
puro,1100110001001
parecer,0100010110110
fanfarroneer,0110110001001
poeta,1100000100010
dorotear,0010010010010
funcionar,0110101011100
miguel,0101101001011
apasionante,0000111011111
aprendí,0000101001011
enmendar,0010000101001
infinito,0111011111011
sentimiento,1101110010101
rota,1101101011100
staffar,1101011010101
completo,0011011001001
malhumorado,0101010011001
orejón,0100110100101
susurro,1101001110100
pradera,1100001011100
gallina,0110101111001
prisar,1100011111100
quedártelo,1100110111100
jersey,0111000101110
idiotas,0111110000010
quej,1100110111110
sudar,1101011001110
ater,0001100011001
cabalgar,0001010011011
habitacione,0111101101101
sultán,1101001000011
cielo,0011000001100
lanzapalabra,0101000010100
admitir,0000011001111
portado,1100001110110
presento,1100011011000
arrecif,0000100100110
obtener,0100101000011
juro,0111000001111
piko,0100000010111
ramar,1100111111111
jugarir,0111000010101
desayuno,0010100101101
amar,0000110110001
municipal,0101100001100
disponer,0010110011111
tropical,1111011111000
poner,1100001101001
permanecer,0100001101110
vuelo,1111101000001
decírselo,0011100110111
reciente,1100101001000
hiel,0111111010001
mando,0101110000000
durar,0010010101110
médico,0100100001011
atrapada,0001100010000
suspirar,1101001110000
abandonarar,0000000010101
apiadar,0000111001010
pesebre,0100000101001
reir,1100100111100
partida,0100010100100
proporcionar,1100010111010
simplón,1101010010101
fundir,0110101010111
pierda,0100000010001
mina,0101101011110
estrago,0110011110010
ninguno,0100101100111
entero,0010000010111
vano,1111010001011
columpiar,0011001110110
evidente,0110010100000
robe,1101101101000
ratúnez,1100111001001
cazar,0001000100000
banquete,0001101000111
demostrartir,0010100001010
bichito,0001111110100
quitar,1100111100000
tecnología,1101000110101
ensuciar,0010000110011
casar,0001001110001
ferocitauru,0110110111010
tribu,1111011010111
libre,0101001111011
oliero,0100111110011
matar,0101110100110
nariz,0100100110001
huevos,0111110110010
cenar,0001000111001
escapado,0110000111100
especialmente,0110001011111
miedoso,0101101000100
vestir,1111110100110
bendito,0001111010000
puerta,1100010001100
inmóvil,0111011011111
arena,0000101111010
refugiar,1100101100011
rebuzna,1100101000111
