word,binary
aplastar,0000101110100
aplaudir,0000101110101
aplauso,0000101110110
aplazar,0000101110111
aplicado,0000101111000
aplicar,0000101111001
aplicarl,0000101111010
apo,0000101111011
apoderado,0000101111100
apoderar,0000101111101
apodo,0000101111110
apolo,0000101111111
aporrear,0000110000000
apoyar,0000110000001
apoyo,0000110000010
apoyémono,0000110000011
apps,0000110000100
apreciado,0000110000101
apreciar,0000110000110
aprecio,0000110000111
aprend,0000110001000
aprender,0000110001001
aprenderás,0000110001010
aprendido,0000110001011
aprendiz,0000110001100
aprendí,0000110001101
apresado,0000110001110
apresuradamente,0000110001111
apresurado,0000110010000
apretado,0000110010001
apretar,0000110010010
aprovechar,0000110010011
apto,0000110010100
apuesto,0000110010101
apuntado,0000110010110
apuntar,0000110010111
apunto,0000110011000
apurada,0000110011001
apuro,0000110011010
apártense,0000110011011
apúratar,0000110011100
aquel,0000110011101
aquí,0000110011110
ar,0000110011111
arar,0000110100000
araña,0000110100001
arañar,0000110100010
araño,0000110100011
arbolito,0000110100100
arbusto,0000110100101
arcoiris,0000110100110
arcoíris,0000110100111
arcángel,0000110101000
arder,0000110101001
ardiente,0000110101010
ardilla,0000110101011
arena,0000110101100
arenoso,0000110101101
aret,0000110101110
argumentar,0000110101111
arma,0000110110000
armadillo,0000110110001
armadura,0000110110010
armar,0000110110011
armario,0000110110100
armatoste,0000110110101
armiño,0000110110110
aro,0000110110111
aroma,0000110111000
aromas,0000110111001
arpa,0000110111010
arquear,0000110111011
arrancar,0000110111100
arrancarla,0000110111101
arrasar,0000110111110
arrastrar,0000110111111
arre,0000111000000
arrear,0000111000001
arrebatárselo,0000111000010
arrebatártelo,0000111000011
arrecif,0000111000100
arreglar,0000111000101
arregle,0000111000110
arreglo,0000111000111
arrepentido,0000111001000
arrepiente,0000111001001
arriba,0000111001010
arriesgado,0000111001011
arrodillar,0000111001100
arrogante,0000111001101
arrojar,0000111001110
arrojándolo,0000111001111
arroyo,0000111010000
arrrrg,0000111010001
arruga,0000111010010
arrugado,0000111010011
art,0000111010100
arte,0000111010101
artilugio,0000111010110
artimaña,0000111010111
artista,0000111011000
artístico,0000111011001
asalto,0000111011010
asegurar,0000111011011
asegurarno,0000111011100
asegurarnos,0000111011101
aseguro,0000111011110
asegúratir,0000111011111
asemejar,0000111100000
asesino,0000111100001
asibikaashi,0000111100010
asigna,0000111100011
asinteír,0000111100100
asistente,0000111100101
asistido,0000111100110
asistir,0000111100111
asno,0000111101000
asomar,0000111101001
asombrado,0000111101010
asombro,0000111101011
asombroso,0000111101100
asopao,0000111101101
aspecto,0000111101110
aspirador,0000111101111
aspirante,0000111110000
aspirar,0000111110001
astucia,0000111110010
astuta,0000111110011
astuto,0000111110100
asunto,0000111110101
asusta,0000111110110
asustado,0000111110111
asustar,0000111111000
asuste,0000111111001
asusto,0000111111010
así,0000111111011
atacada,0000111111100
atacado,0000111111101
atacante,0000111111110
atacar,0000111111111
atacarno,0001000000000
atado,0001000000001
atajo,0001000000010
ataque,0001000000011
ataquen,0001000000100
atar,0001000000101
atardecer,0001000000110
atareado,0001000000111
ataré,0001000001000
atascado,0001000001001
atascó,0001000001010
