lambda_gram,embedding
construcción casito tomar tiempo,0011010010011000100111111111110011001101111000011101
importar nuevo hogar albergar,0111010110010010010101010001111111011110000010010000
nuevo hogar albergar frío,0100101010100011111110111100000100100000110101001000
hogar albergar frío temible,0111111101111000001001000001101010010001101000011000
albergar frío temible lobo,0000010010000011010100100011010000110000101011010010
frío temible lobo feroz,0110101001000110100001100001010110100100110110111001
temible lobo feroz hablar,1101000011000010101101001001101101110010111101111001
lobo feroz hablar temible,0101011010010011011011100101111011110011101000011000
feroz hablar temible lobo,0110110111001011110111100111010000110000101011010010
hablar temible lobo feroz,0111101111001110100001100001010110100100110110111001
temible lobo feroz encontrar,1101000011000010101101001001101101110010010001110011
lobo feroz encontrar merodear,0101011010010011011011100100100011100110101111001101
feroz encontrar merodear bosque,0110110111001001000111001101011110011010001110101000
encontrar merodear bosque ver,0010001110011010111100110100011101010001111110110101
merodear bosque ver cerdito,0101111001101000111010100011111101101010001000110001
bosque ver cerdito menor,0001110101000111111011010100010001100010101111010010
ver cerdito menor dormir,1111110110101000100011000101011110100100010010010111
cerdito menor dormir tranquilamente,0001000110001010111101001000100100101111111001000001
menor dormir tranquilamente través,0101111010010001001001011111110010000011111011011011
dormir tranquilamente través ventana,0010010010111111100100000111110110110111111110010001
érase vez joven bello,1111101101001111111010000001110001111010001111010111
vez joven bello princesa,1111110100000011100011110100011110101111100011110001
joven bello princesa llamado,0111000111101000111101011111000111100010101001010100
bello princesa llamado blancaniev,0001111010111110001111000101010010101000001111101011
princesa llamado blancaniev vivir,1100011110001010100101010000011111010111111111011010
llamado blancaniev vivir reino,0101001010100000111110101111111110110101100100111101
blancaniev vivir reino lejano,0001111101011111111101101011001001111010101000101100
vivir reino lejano padre,1111111011010110010011110101010001011000100110001000
reino lejano padre madrastrar,1100100111101010100010110001001100010000101010101000
madrastro reina hermoso arrogante,0101010111000110010011101001111110110100000100101011
reina hermoso arrogante orgulloso,1100100111010011111101101000001001010110100110101111
pasar día contemplar él,0100010100001001001110000000110100110001111101111000
día contemplar él frente,0010011100000001101001100011111011110000110111000010
contemplar él frente espejo,0011010011000111110111100001101110000100110001001001
