word,binary
asopao,0000100011011
aspecto,0000100011001
aspirador,0000100011000
aspirante,0000100001000
aspirar,0000100001001
astucia,0000100001011
astuta,0000100001010
astuto,0000100001110
asunto,0000100001111
asusta,0000100001101
asustado,0000100001100
asustar,0000100000100
asuste,0000100000101
asusto,0000100000111
así,0000100000110
atacada,0000100000010
atacado,0000100000011
atacante,0000100000001
atacar,0000100000000
atacarno,0001100000000
atado,0001100000001
atajo,0001100000011
ataque,0001100000010
ataquen,0001100000110
atar,0001100000111
atardecer,0001100000101
atareado,0001100000100
ataré,0001100001100
atascado,0001100001101
atascó,0001100001111
ataúd,0001100001110
atenas,0001100001010
atención,0001100001011
atender,0001100001001
ateneo,0001100001000
atentamente,0001100011000
ater,0001100011001
atermorizar,0001100011011
aterrado,0001100011010
aterrador,0001100011110
aterradora,0001100011111
aterrar,0001100011101
aterrizar,0001100011100
aterrorizado,0001100010100
aterrorizar,0001100010101
atizar,0001100010111
atorar,0001100010110
atraer,0001100010010
atrajerar,0001100010011
atrapa,0001100010001
atrapada,0001100010000
atrapado,0001100110000
atrapar,0001100110001
atraparte,0001100110011
atrapándolo,0001100110010
atravesar,0001100110110
atraído,0001100110111
atrev,0001100110101
atreve,0001100110100
atreveer,0001100111100
atrever,0001100111101
atreverir,0001100111111
atreveír,0001100111110
atrevir,0001100111010
atrevser,0001100111011
atrás,0001100111001
aturdido,0001100111000
até,0001100101000
ató,0001100101001
atónito,0001100101011
audiencia,0001100101010
aullar,0001100101110
aullido,0001100101111
aumentar,0001100101101
aun,0001100101100
aunque,0001100100100
ausencio,0001100100101
auto,0001100100111
autoestima,0001100100110
automáticamente,0001100100010
auténtico,0001100100011
auxiliar,0001100100001
auxilio,0001100100000
avanzadísimo,0001101100000
avanzar,0001101100001
ave,0001101100011
aventura,0001101100010
aventurar,0001101100110
avergonzado,0001101100111
averiado,0001101100101
averiguar,0001101100100
avisa,0001101101100
avisar,0001101101101
aviso,0001101101111
avispa,0001101101110
avén,0001101101010
ay,0001101101011
ayer,0001101101001
ayuda,0001101101000
ayudado,0001101111000
ayudant,0001101111001
ayudante,0001101111011
ayudar,0001101111010
ayudara,0001101111110
ayudarme,0001101111111
ayudarno,0001101111101
ayudaro,0001101111100
ayudarte,0001101110100
ayude,0001101110101
ayudándol,0001101110111
ayúdame,0001101110110
ayúdano,0001101110010
azadón,0001101110011
azteca,0001101110001
azul,0001101110000
azúcar,0001101010000
añadamos,0001101010001
añadir,0001101010011
añicos,0001101010010
año,0001101010110
aún,0001101010111
baboso,0001101010101
bailar,0001101010100
baile,0001101011100
bajar,0001101011101
bajito,0001101011111
bajo,0001101011110
bajárselo,0001101011010
balanza,0001101011011
balcón,0001101011001
balde,0001101011000
baldir,0001101001000
balón,0001101001001
bambú,0001101001011
banana,0001101001010
banco,0001101001110
banda,0001101001111
bandeja,0001101001101
bandero,0001101001100
bando,0001101000100
banquet,0001101000101
banquete,0001101000111
barba,0001101000110
barbadepega,0001101000010
barbadepegar,0001101000011
barbero,0001101000001
barco,0001101000000
barra,0001111000000
barrer,0001111000001
barriga,0001111000011
barriguita,0001111000010
barril,0001111000110
barrio,0001111000111
barrot,0001111000101
basar,0001111000100
base,0001111001100
bastante,0001111001101
bastar,0001111001111
basura,0001111001110
bata,0001111001010
batalla,0001111001011
bañar,0001111001001
bañera,0001111001000
bañista,0001111011000
baño,0001111011001
baúl,0001111011011
beba,0001111011010
beber,0001111011110
bebido,0001111011111
bebé,0001111011101
bebérselo,0001111011100
bella,0001111010100
belleza,0001111010101
bello,0001111010111
