lambda_gram,embedding
nuevo dirigir hacia palacio real,01110010110110011011001100010100101010001110111101011000101101001
dirigir hacia palacio real conseguir,00110110011000101001010100011101111010110001011010010010011001110
hacia palacio real conseguir ser,01010010101000111011110101100010110100100100110011101001011011110
palacio real conseguir ser recibir,01110111101011000101101001001001100111010010110111101000101111111
real conseguir ser recibir rey,10001011010010010011001110100101101111010001011111111001000101010
majestad gato bota leal servidor,01100110110010100110110111000101100100101100001001111001011100110
gato bota leal servidor marqués,01001101101110001011001001011000010011110010111001100110100100100
bota leal servidor marqués carabás,00010110010010110000100111100101110011001101001001000001101111001
leal servidor marqués carabás primero,01100001001111001011100110011010010010000011011110011000010001100
servidor marqués carabás primero nombre,10010111001100110100100100000110111100110000100011000111001001000
marqués carabás primero nombre ocurrir,01101001001000001101111001100001000110001110010010000111001111111
carabás primero nombre ocurrir gato,00011011110011000010001100011100100100001110011111110100110110111
marqués querer ofrecer él regalo,01101001001001000100100001011101000100110101101100001000110110111
érase vez anciano carpintero llamado,10101101100111010100111100000010011100000011100011000110001100110
vez anciano carpintero llamado gepeto,10101001111000000100111000000111000110001100011001100100111001010
anciano carpintero llamado gepeto feliz,00001001110000001110001100011000110011001001110010100100100011111
carpintero llamado gepeto feliz hacer,00011100011000110001100110010011100101001001000111110101001001100
llamado gepeto feliz hacer juguet,01100011001100100111001010010010001111101010010011000101111101010
gepeto feliz hacer juguet madera,01001110010100100100011111010100100110001011111010100110011000101
feliz hacer juguet madera niño,01001000111110101001001100010111110101001100110001010111000111101
hacer juguet madera niño pueblo,01010010011000101111101010011001100010101110001111011000011100010
día hacer marioneta madera pino,00111001101100101001001100011010010000001100110001010111111100001
hacer marioneta madera pino especial,01010010011000110100100000011001100010101111111000010100001100010
marioneta madera pino especial decidir,01101001000000110011000101011111110000101000011000100010111001001
madera pino especial decidir llamar,01100110001010111111100001010000110001000101110010010110001100111
pino especial decidir llamar él,01111111000010100001100010001011100100101100011001111010110110000
especial decidir llamar él pinocho,01000011000100010111001001011000110011110101101100000111111100010
noche hado azul llegar taller,01110010000010101001011000000100101010101100011100011001110110111
hado azul llegar taller anciano,01010010110000001001010101011000111000110011101101110000100111000
azul llegar taller anciano carpintero,00010010101010110001110001100111011011100001001110000001110001100
llegar taller anciano carpintero buen,01100011100011001110110111000010011100000011100011000001011101100
taller anciano carpintero buen gepeto,10011101101110000100111000000111000110000010111011000100111001010
anciano carpintero buen gepeto decir,00001001110000001110001100000101110110001001110010100010111001010
carpintero buen gepeto decir mientras,00011100011000001011101100010011100101000101110010100110101111100
buen gepeto decir mientras anciano,00010111011000100111001010001011100101001101011111000000100111000
gepeto decir mientras anciano dormir,01001110010100010111001010011010111110000001001110000011100001111
decir mientras anciano dormir hecho,00101110010100110101111100000010011100000111000011110101001111101
mientras anciano dormir hecho demá,01101011111000000100111000001110000111101010011111010010111111101
anciano dormir hecho demá tanto,00001001110000011100001111010100111110100101111111011001110111100
dormir hecho demá tanto feliz,00111000011110101001111101001011111110110011101111000100100011111
hecho demá tanto feliz merez,01010011111010010111111101100111011110001001000111110110101100110
demá tanto feliz merez desear,00101111111011001110111100010010001111101101011001100011001000101
tanto feliz merez desear ser,10011101111000100100011111011010110011000110010001011001011011110
feliz merez desear ser padre,01001000111110110101100110001100100010110010110111100111011100110
merez desear ser padre hacer,01101011001100011001000101100101101111001110111001100101001001100
desear ser padre hacer realidad,00110010001011001011011110011101110011001010010011001000101101010
sonreir hado azul tocar marioneta,10011010001010101001011000000100101010110100001101010110100100000
hado azul tocar marioneta varito,01010010110000001001010101101000011010101101001000001010011110101
